sid,label,clid,x,y,pecol2,txt
0,0,14,-1.5644912719726562,-30.59439468383789,0.05727677263949347,"The church is filled with song."
1,0,39,-39.028324127197266,-23.582664489746094,0.005859717055705719,"The woman is very happy."
2,0,31,12.207952499389648,-22.3710880279541,0.022034423455559515,"A man poses in front of an ad."
3,0,4,-2.7294321060180664,-51.71581268310547,0.1230371509667819,"There is a statue that not many people seem to be interested in."
4,0,30,-53.4690055847168,-18.293901443481445,0.08552336532651722,"A Land Rover is splashing water as it crosses a river."
5,0,42,51.5241813659668,11.274642944335938,0.014399780713860793,"A vehicle is crossing a river."
6,0,45,51.66987991333008,-39.32941818237305,0.11434247999999997,"A man playing guitar on stage."
7,0,4,1.7039231061935425,-51.81973648071289,0.1230371509667819,"A doctor is looking at a book"
8,0,13,-36.57184600830078,-41.12250518798828,0.07431389406480714,"A tan girl runs leans over an object"
9,0,14,12.261835098266602,-25.95587730407715,0.05727677263949347,"A family is at the beach."
10,0,31,8.872553825378418,-12.694127082824707,0.022034423455559515,"A couple is walking together."
11,0,26,-14.07693862915039,-6.957207679748535,0.0021203172781065083,"Three hood wearing people pose for a picture."
12,0,1,30.111230850219727,9.840740203857422,0.03635462497041419,"Three hood wearing people stand in a street."
13,0,8,2.621253728866577,-54.6517219543457,0.18655425116342236,"The man is inside."
14,0,26,-1.9276318550109863,-28.13419532775879,0.0021203172781065083,"Three firefighters coming up from a subway station."
15,0,21,68.95228576660156,-19.331457138061523,0.022495282249478218,"A person is near a pile of coconuts."
16,0,27,16.253822326660156,41.11699295043945,0.02927425684441197,"The guy wearing a blue jacket is laying on the green grass"
17,0,44,72.13323211669922,-14.513965606689453,0.003022594515169542,"Cowboy falling off horse."
18,0,17,33.17212677001953,16.63216209411621,0.0636117033774417,"A boy is on a playground."
19,0,36,-42.26668167114258,32.29122543334961,0.016123917231063458,"A squatting woman wearing a hat touching the ground."
20,0,44,71.8144302368164,-6.934934139251709,0.003022594515169542,"Two children are on a rug."
21,0,7,59.17304229736328,-1.1964234113693237,0.01666067892473118,"a guy near a building stands by two other men"
